lat,month,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010
39.22,Jun,11.571,11.175,11.426,9.919,12.855,11.795,10.476,10.883,10,12.526,12.455,10.036,11.533,10.526,10.265,10.304,10.587,10.989,11.257,10.75,9.2,11.414,10.196
39.22,Jul,11.037,10.856,12.906,11.88,13.68,10.837,10.993,12.535,12.22,12.251,12.47,11.23,11.181,10.629,11.009,10.351,13.256,11.867,11.895,11.741,11.604,11.09,10.934
39.22,Aug,12.65,11.61,13.002,13.99,12.726,12.766,11.454,12.365,11.784,15.233,11.925,12.202,10.799,12.296,12.011,13.359,13.745,11.817,12.902,13.02,11.701,12.44,10.987
39.22,Sep,12.476,12.592,15.36,13.457,13.311,12.749,13.547,13.627,12.801,15.4,12.843,11.82,13.022,13.072,12.415,12.321,12.542,12.23,11.862,13.545,12.857,13.363,11.991
39.22,Oct,12.765,12.399,11.978,13.454,14.546,12.79,12.432,12.474,13.09,13.623,13.068,11.873,12.216,11.805,12.154,12.174,12.82,12.471,13.381,13.273,12.414,11.949,11.667
39.22,Nov,12.795,12.224,11.962,11.989,13.074,12.484,11.222,13.493,12.448,15.464,12.56,12.623,11.754,11.888,12.58,11.894,12.817,12.411,13.125,12.049,12.609,11.963,12.109
39.22,Dec,11.575,12.579,10.878,11.39,12.372,12.347,11.238,13.726,12.712,14.596,11.544,11.502,12.237,11.651,12.569,12.099,12.179,13.022,12.105,10.493,11.734,11.456,12.327
38.23,Jan,11.242,10.267,11.97,10.459,12.421,12.194,12.481,12.155,12.281,12.262,13.547,10.795,11.443,11.493,11.131,12.918,11.689,12.609,12.67,10.757,10.816,10.628,12.541
38.23,Feb,10.978,10.047,10.505,11.449,13.335,12.42,12.423,12.759,13.072,11.764,13.109,10.392,11.87,10.701,10.916,12.515,11.85,12.71,12.125,11.036,10.694,10.928,12.438
38.23,Mar,10.76,10.84,10.305,11.195,13.185,12.718,12.428,13.065,12.618,10.541,12.348,10.506,10.809,11.172,10.777,11.89,11.144,13.337,11.633,10.887,10.252,10.403,12.095
38.23,Apr,10.802,11.748,10.701,10.378,12.513,12.071,10.537,11.048,12.531,10.919,11.89,9.735,10.906,9.496,10.34,11.14,10.499,11.4,11.765,9.846,9.554,9.336,11.407
38.23,May,11.042,11.12,10.357,9.484,12.33,12.212,9.943,10.929,10.285,13.184,12.399,8.298,10.61,9.782,9.788,10.034,10.759,12.248,10.408,9.903,9.586,9.251,9.903
38.23,Jun,11.182,10.354,10.788,9.815,12.28,11.173,9.402,10.658,9.293,12.2,12.301,9.203,10.519,9.45,8.886,10.126,10.499,10.834,10.828,9.747,9.233,11.804,10.425
38.23,Jul,10.605,9.826,12.024,11.749,13.402,10.478,10.673,12.516,11.321,11.973,11.295,10.793,10.75,10.916,10.261,10.105,11.944,11.728,11.678,11.196,11.732,10.972,11.251
38.23,Aug,12.775,11.395,13.176,12.844,11.781,12.246,10.957,11.981,11.251,14.437,12.474,12.087,10.687,11.491,11.699,12.878,12.772,13.113,13.02,11.868,12.112,12.237,11.85
38.23,Sep,11.942,12.638,12.695,12.989,13.309,12.35,12.555,12.823,12.135,14.575,13.148,11.692,13.533,11.62,13.179,12.249,12.433,12.714,12.497,12.6,13.993,12.69,11.657
38.23,Oct,12.794,13.067,12.12,13.754,14.926,13.259,12.89,12.462,12.352,13.106,12.6,11.676,12.419,11.606,12.606,11.91,12.937,11.935,14.218,11.964,12.466,11.862,12.01
38.23,Nov,12.878,12.358,11.542,11.804,13.594,13.997,11.518,12.576,11.757,14.628,11.853,12.472,11.232,11.944,12.898,12.083,13.571,12.219,13.651,11.623,12.63,11.479,11.512
38.23,Dec,11.252,12.879,10.535,11.229,12.664,12.774,11.367,12.676,12.099,13.911,11.211,11.238,11.8,11.437,12.979,12.235,12.495,12.29,12.105,10.813,11.464,11.271,11.937
37.75,Jan,11.055,9.847,11.79,10.401,11.54,11.477,11.767,11.555,11.758,11.812,13.964,10.307,11.05,11.518,11.168,12.715,12.286,12.563,12.333,10.754,11,10.929,13.14
37.75,Feb,11.297,9.743,10.376,11.458,12.773,12.008,12.036,12.369,12.27,11.522,13.605,10.535,12.156,10.97,11.022,12.322,11.808,12.973,11.709,11.266,11.013,11.627,12.842
37.75,Mar,11.287,11.175,10.474,11.224,13.979,13.055,12.671,12.883,12.252,10.237,12.982,10.304,11.31,11.62,10.999,11.863,12.116,13.945,11.66,11.258,10.633,11.274,12.238
37.75,Apr,11.587,12.603,11.817,10.541,13.427,12.136,11.212,11.155,11.886,10.042,12.607,9.703,11.494,10.04,10.897,11.313,11.181,11.655,12.587,10.172,9.603,9.6,11.551
37.75,May,11.03,11.229,11.527,9.874,13.384,12.475,10.834,11.152,11.075,12.593,13.024,9.307,10.932,11.157,10.485,11.074,11.44,13.417,12.195,10.57,10.123,10.418,10.06
37.75,Jun,12.13,11.693,11.912,11.129,13.408,12.551,10.486,11.597,10.483,11.302,13.468,10.471,11.903,11.034,10.258,11.337,10.809,11.735,12.09,11.279,10.166,13.495,11.148
37.75,Jul,12.651,12.105,13.212,13.363,15.046,12.584,12,13.319,12.945,12.79,12.977,12.607,12.494,12.934,12.298,12.037,13.692,13.86,13.547,13.287,13.568,12.831,12.563
37.75,Aug,14.811,13.735,14.596,14.189,13.583,14.809,12.452,13.471,12.848,15.979,13.859,13.224,12.508,12.885,13.602,14.439,14.697,14.353,14.742,13.603,13.389,14.064,13.117
37.75,Sep,13.638,14.712,15.348,13.803,14.577,14.11,13.677,13.77,13.791,16.079,14.358,13.473,14.453,12.974,13.831,14.613,14.478,14.067,13.785,14.095,14.811,13.46,13.101
37.75,Oct,13.456,13.77,13.136,13.958,15.075,13.931,13.165,13.106,12.927,14.746,13.342,14.086,13.823,13.367,13.452,12.572,13.347,12.729,14.88,12.767,13.662,12.52,12.926
37.75,Nov,12.759,12.996,11.365,12.02,13.868,13.651,11.548,12.282,11.862,15.65,12.2,13.096,11.981,12.956,12.535,12.882,14.196,12.983,13.749,12.81,13.104,11.908,12.788
37.75,Dec,11.132,12.035,10.319,10.881,12.509,12.264,10.87,11.997,11.704,14.263,11.273,11.283,11.463,11.667,12.819,12.934,12.76,12.299,12.26,11.007,11.802,11.86,11.85
37.36,Jan,11.623,10.626,12.846,11.739,12.738,12.944,13.009,12.2,12.199,12.419,14.248,10.886,11.473,12.041,11.436,13.186,12.283,13.219,12.421,11.067,11.729,11.668,13.547
37.36,Feb,11.426,10.709,11.099,11.933,13.459,12.98,12.755,12.909,12.711,12.099,13.927,10.924,12.205,11.217,11.207,12.849,11.756,13.202,12.519,11.326,11.749,12.279,13.295
37.36,Mar,11.599,11.52,11.495,11.57,14.051,13.496,13.048,13.346,12.743,11.112,13.412,10.618,11.873,11.964,11.26,12.443,11.895,13.669,11.669,10.983,11.359,11.883,12.738
37.36,Apr,11.661,12.929,12.421,11.299,14.085,12.629,11.86,11.777,12.595,10.898,13.063,9.958,12.126,10.755,11.343,12.023,11.458,11.987,12.354,10.763,10.546,10.54,12.165
37.36,May,11.672,12.443,12.262,10.759,13.746,13.117,11.617,11.882,11.969,13.227,13.509,10.175,11.661,12.191,11.665,11.722,12.613,13.633,12.528,10.653,11.051,11.308,11.001
37.36,Jun,12.42,12.938,12.448,11.916,13.741,12.925,11.239,12.317,11.583,11.928,13.92,11.306,12.61,12.604,11.75,12.405,11.548,11.871,13.07,11.327,11.035,13.886,11.498
37.36,Jul,13.533,12.838,13.944,13.752,15.406,13.197,12.649,13.778,13.312,13.274,13.518,13.123,12.952,13.862,13.125,12.384,13.907,13.69,13.545,13.43,13.904,13.31,13.127
37.36,Aug,14.866,13.815,15.252,14.597,14.142,14.939,12.934,13.967,13.145,16.063,14.466,13.562,13.335,13.996,13.933,16.086,15.259,14.379,15.054,13.998,13.802,14.301,13.409
37.36,Sep,13.886,14.929,15.842,13.927,15.179,14.338,14.359,14.362,13.583,16.006,15.11,14.1,14.622,13.582,14.006,15.591,14.798,14.713,14.023,14.298,15.02,13.768,13.813
37.36,Oct,13.541,14.536,13.027,14.019,15.523,14.251,14.078,13.606,13.214,14.91,13.775,14.054,13.764,13.327,13.509,12.89,13.909,14.07,14.927,13.207,13.917,13.035,13.393
37.36,Nov,12.866,13.377,11.832,12.031,14.29,13.918,12.063,12.688,12.459,15.641,12.957,13.079,11.893,13.286,12.75,13.274,14.113,14.377,14.231,13.234,13.516,12.477,12.939
37.36,Dec,11.717,13.689,11.61,11.838,13.655,13.297,11.99,12.464,12.328,14.492,11.685,11.429,11.989,12.104,13.502,13.077,12.538,12.618,12.517,11.719,12.381,12.481,12.33
36.75,Jan,11.95,10.943,13.003,12.068,13.038,13.224,13.282,12.573,12.844,12.712,14.397,11.684,11.45,11.88,11.352,13.468,12.7,13.682,12.947,11.843,11.749,12.014,13.162
36.75,Feb,11.534,11.21,11.511,12.157,13.667,13.267,13.054,12.962,13.047,12.199,14.123,11.432,12.072,11.079,11.058,13.119,11.843,13.708,12.38,12.391,11.332,12.065,13.466
36.75,Mar,11.695,11.671,11.694,11.692,14.207,13.702,13.317,13.462,13.035,10.982,13.646,11.316,11.647,11.737,11.41,12.766,12.276,14.209,12.178,11.768,11.187,11.956,12.989
36.75,Apr,11.748,12.842,12.393,11.514,14.236,12.999,12.568,12.375,12.504,11.854,13.359,10.564,11.838,11.413,11.327,12.466,11.897,12.859,12.886,11.017,10.666,11.04,12.378
36.75,May,11.706,12.545,12.287,10.699,13.988,13.258,12.46,12.04,11.618,13.183,13.678,10.656,12.754,11.441,10.845,11.836,12.481,14.054,12.949,11.801,10.875,11.646,11.18
36.75,Jun,12.567,13.832,12.616,11.637,13.875,13.317,12.151,11.751,11.019,13.727,13.988,11.725,12.663,12.861,11.462,13.596,12.078,13.091,13.646,12.462,12.112,13.837,11.911
